item_identifier,item_fat_content,item_mrp,item_outlet_sales,item_visibility,item_weight,outlet_identifier,outlet_location_type,outlet_size,outlet_type,source,item_type_combined,outlet_years
FDW46,Regular,65.9484,1174.4712,0.070699313,13.0,OUT045,Tier 3,Small,Supermarket Type2,train,Food,13
FDJ08,Low Fat,191.7846,573.2538,0.193772568,13.619,OUT049,Tier 2,Small,Supermarket Type1,train,Food,15
NCA30,Non-Edible,190.5872,1400.5768799999998,0.216478153,19.0,OUT049,Tier 3,Small,Supermarket Type1,train,Non-Consumable,15
DRD49,Low Fat,239.4564,5243.8408,0.167799329,9.895,OUT035,Tier 2,Small,Supermarket Type1,train,Drinks,18
NCA18,Non-Edible,117.8492,1711.63864,0.093862362,10.462,OUT049,Tier 3,Small,Supermarket Type3,train,Non-Consumable,13
NCD06,Non-Edible,46.306,838.908,0.099887103,13.0,OUT046,Tier 3,Small,Supermarket Type2,train,Non-Consumable,13
NCD19,Non-Edible,56.0614,994.7052,0.022059594,8.93,OUT045,Tier 3,Small,Supermarket Type1,train,Non-Consumable,20
FDI28,Low Fat,78.2302,554.6114,0.026428924,14.3,OUT018,Tier 3,Medium,Supermarket Type2,train,Food,13
FDB02,Regular,174.537,1235.059,0.029158763,9.695,OUT035,Tier 2,Small,Supermarket Type1,train,Food,18
FDN60,Low Fat,158.4604,4278.4308,0.094697274,9.732,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,37
FDV57,Regular,181.766,7370.406,0.065999008,13.306000000000001,OUT049,Tier 3,Medium,Supermarket Type3,train,Food,23
FDC09,Regular,102.1332,615.1992,0.026409147,15.5,OUT045,Tier 3,Small,Supermarket Type2,train,Food,13
FDZ59,Regular,168.45,2963.0763199999997,0.182128363,11.652,OUT049,Tier 3,Small,Supermarket Type3,train,Food,13
FDU38,Low Fat,193.4504,2876.256,0.083016832,10.8,OUT017,Tier 2,Small,Supermarket Type1,train,Food,15
FDG38,Regular,86.0224,3579.3408,0.053027398,8.975,OUT017,Tier 3,Small,Supermarket Type1,train,Food,15
FDX34,Low Fat,121.7098,4097.3332,0.071636937,12.831,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,37
FDT19,Regular,172.808,2250.404,0.145631695,7.59,OUT018,Tier 3,Medium,Supermarket Type2,train,Food,13
FDZ60,Low Fat,109.4596,2121.7714399999995,0.208987123,11.773,OUT049,Tier 3,Small,Supermarket Type3,train,Food,13
DRL01,Regular,233.4958,5375.0034,0.077608838,19.5,OUT017,Tier 2,Small,Supermarket Type1,train,Drinks,15
FDJ21,Regular,146.5102,2770.3938,0.038606365,16.7,OUT045,Tier 2,Small,Supermarket Type1,train,Food,20
FDR52,Regular,192.1846,1146.5076,0.076354362,12.65,OUT018,Tier 3,Medium,Supermarket Type2,train,Food,13
NCK29,Non-Edible,123.473,369.519,0.0,12.151,OUT019,Tier 1,Small,Grocery Store,train,Non-Consumable,37
FDV08,Low Fat,43.5454,538.6322,0.028711412,11.3,OUT045,Tier 3,Small,Supermarket Type3,train,Food,13
FDH53,Regular,84.3592,1816.3024,0.019199733,20.5,OUT046,Tier 1,Small,Supermarket Type1,train,Food,25
NCL19,Non-Edible,145.047,3006.087,0.015673267,15.35,OUT035,Tier 3,Small,Supermarket Type1,train,Non-Consumable,18
FDR51,Regular,148.4708,3761.77,0.172629683,9.959999999999999,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,37
NCJ29,Non-Edible,86.1224,852.224,0.035264298,15.479000000000003,OUT045,Tier 3,Small,Supermarket Type3,train,Non-Consumable,20
NCG07,Non-Edible,191.253,2388.2246,0.091924311,13.303,OUT049,Tier 3,Small,Supermarket Type3,train,Non-Consumable,13
FDI02,Regular,114.1202,1093.64308,0.11521312,8.514,OUT049,Tier 3,Small,Supermarket Type3,train,Food,13
FDX20,Low Fat,226.172,3169.208,0.042560252,7.365,OUT046,Tier 1,Small,Supermarket Type1,train,Food,25
FDF22,Low Fat,212.8218,5770.4886,0.056919038,6.865,OUT049,Tier 1,Medium,Supermarket Type1,train,Food,23
NCD31,Non-Edible,166.0526,2631.2416,0.025834128,14.972999999999999,OUT049,Tier 3,Small,Supermarket Type3,train,Non-Consumable,13
FDX51,Regular,196.9452,1839.4722399999998,0.036921781,14.268,OUT049,Tier 3,Small,Supermarket Type3,train,Food,13
FDI35,Low Fat,180.7634,2181.1608,0.041291169,14.0,OUT046,Tier 1,Small,Supermarket Type1,train,Food,25
FDA19,Low Fat,130.1994,2093.00888,0.092272132,9.656,OUT049,Tier 3,Small,Supermarket Type3,train,Food,13
FDO57,Low Fat,161.7578,4492.8184,0.109153001,20.75,OUT046,Tier 3,Small,Supermarket Type2,train,Food,13
FDM58,Regular,113.4544,1866.63688,0.133385398,9.283,OUT049,Tier 3,Small,Supermarket Type3,train,Food,13
FDM34,Low Fat,132.9626,3268.9448399999997,0.112893408,12.277,OUT046,Tier 3,Small,Supermarket Type3,train,Food,13
NCT06,Non-Edible,165.0842,2320.9788,0.038705317,17.1,OUT013,Tier 3,High,Supermarket Type1,train,Non-Consumable,35
DRM47,Low Fat,192.8846,2293.0152,0.04357366,13.619,OUT027,Tier 3,Medium,Supermarket Type3,train,Drinks,37
DRJ51,Low Fat,229.0668,3225.1352,0.087977262,14.1,OUT035,Tier 2,Small,Supermarket Type1,train,Drinks,18
FDE35,Regular,60.2904,644.4944,0.073480266,7.06,OUT045,Tier 3,Small,Supermarket Type1,train,Food,20
FDN32,Low Fat,182.6266,3135.2522,0.015623754,17.5,OUT018,Tier 3,Medium,Supermarket Type2,train,Food,13
FDE29,Low Fat,58.8878,1151.1682,0.143129124,8.905,OUT046,Tier 1,Small,Supermarket Type1,train,Food,25
FDZ03,Regular,186.024,1118.544,0.078946455,13.65,OUT045,Tier 2,Small,Supermarket Type1,train,Food,20
DRO35,Low Fat,116.1492,1274.3412,0.034640466,13.85,OUT045,Tier 2,Small,Supermarket Type1,train,Drinks,20
FDS25,Regular,112.1228,1608.43964,0.1408005,11.086,OUT046,Tier 3,Small,Supermarket Type3,train,Food,13
FDD41,Regular,106.2306,1297.6442000000002,0.087753682,11.229000000000001,OUT049,Tier 3,Small,Supermarket Type3,train,Food,13
FDT15,Regular,184.795,3304.49856,0.074729835,10.943000000000001,OUT049,Tier 3,Small,Supermarket Type3,train,Food,13
FDY16,Regular,186.2266,3678.6781600000004,0.16147714,14.66,OUT049,Tier 3,Small,Supermarket Type3,train,Food,13
NCK18,Non-Edible,166.9184,660.4736,0.011211251,9.6,OUT010,Tier 3,Small,Grocery Store,train,Non-Consumable,24
FDN45,Low Fat,224.8088,5762.36584,0.197679823,14.013,OUT046,Tier 3,Small,Supermarket Type3,train,Food,15
FDS23,Low Fat,130.0994,2017.9066399999997,0.246678647,9.656,OUT049,Tier 3,Small,Supermarket Type2,train,Food,13
NCB42,Non-Edible,117.2492,2432.8332,0.008596051,11.8,OUT035,Tier 3,Small,Supermarket Type2,train,Non-Consumable,13
FDM27,Regular,158.8946,3225.1351999999997,0.277459381,10.656,OUT049,Tier 3,Small,Supermarket Type3,train,Food,13
FDK57,Low Fat,121.244,2504.2069600000004,0.080747059,9.293000000000001,OUT049,Tier 3,Small,Supermarket Type3,train,Food,13
NCR50,Non-Edible,155.134,2392.0862399999996,0.011868237,9.187999999999999,OUT049,Tier 3,Small,Supermarket Type3,train,Non-Consumable,13
FDX55,Low Fat,219.4166,3862.9716,0.096658404,15.261,OUT049,Tier 2,Small,Supermarket Type1,train,Food,15
FDU40,Low Fat,192.7478,387.4956,0.062606583,20.85,OUT013,Tier 3,Small,Supermarket Type1,train,Food,24
FDC08,Regular,228.272,5206.556,0.173154079,19.0,OUT017,Tier 3,Small,Supermarket Type1,train,Food,15
FDZ21,Regular,97.341,965.41,0.039189221,17.6,OUT013,Tier 3,High,Supermarket Type1,train,Food,35
FDB04,Regular,89.4856,1142.5128,0.06358394,11.35,OUT017,Tier 2,Small,Supermarket Type1,train,Food,15
FDZ38,Low Fat,174.2422,5173.266,0.008033611,12.022,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,13
FDI53,Regular,162.1236,2577.9776,0.137858955,8.895,OUT049,Tier 1,Medium,Supermarket Type1,train,Food,23
FDN49,Regular,41.748,414.1276,0.209600084,11.398,OUT049,Tier 3,Small,Supermarket Type3,train,Food,13
FDX02,Low Fat,225.0404,5851.0504,0.05706009,16.0,OUT046,Tier 3,Small,Supermarket Type1,train,Food,25
FDU14,Low Fat,248.675,4993.5,0.034823127,15.309000000000001,OUT045,Tier 3,Small,Supermarket Type3,train,Food,20
FDS10,Low Fat,182.0318,5954.2494,0.035185588,12.726000000000003,OUT046,Tier 3,Small,Supermarket Type3,train,Food,25
FDB33,Low Fat,160.7262,2864.2716,0.014577412,17.75,OUT035,Tier 2,Small,Supermarket Type1,train,Food,18
FDG22,Regular,38.119,799.22632,0.072453062,16.68,OUT049,Tier 3,Small,Supermarket Type3,train,Food,13
FDP26,Low Fat,103.0306,2404.2038,0.139436695,7.785,OUT013,Tier 3,High,Supermarket Type1,train,Food,35
FDQ36,Regular,39.2848,295.34888,0.162461219,14.62,OUT049,Tier 3,Small,Supermarket Type2,train,Food,13
FDE32,Low Fat,37.5506,113.8518,0.04874969,20.7,OUT035,Tier 2,Small,Supermarket Type1,train,Food,18
FDG08,Regular,171.8764,3779.0808,0.165694678,13.15,OUT045,Tier 2,Small,Supermarket Type1,train,Food,18
FDA09,Regular,180.266,898.83,0.149669322,13.35,OUT045,Tier 2,Small,Supermarket Type1,train,Food,20
FDZ58,Low Fat,121.7072,2817.6656,0.052166995,17.85,OUT035,Tier 2,Small,Supermarket Type1,train,Food,18
NCX54,Non-Edible,106.1622,2117.244,0.048331717,9.195,OUT045,Tier 2,Small,Supermarket Type1,train,Non-Consumable,15
DRN11,Low Fat,145.2444,1451.444,0.162980276,7.85,OUT046,Tier 1,Small,Supermarket Type1,train,Drinks,25
DRN36,Low Fat,95.9752,95.8752,0.087854925,15.619,OUT035,Tier 2,Small,Supermarket Type1,train,Drinks,18
NCU17,Non-Edible,101.4674,2954.1546,0.093027718,5.32,OUT049,Tier 1,Medium,Supermarket Type1,train,Non-Consumable,23
FDZ02,Regular,99.8726,1337.3258799999999,0.063850971,9.772,OUT045,Tier 3,Small,Supermarket Type3,train,Food,13
FDD44,Regular,258.5646,6183.9504,0.078719835,8.05,OUT049,Tier 3,Small,Supermarket Type2,train,Food,13
FDF11,Regular,239.6538,2403.538,0.017627888,10.195,OUT035,Tier 2,Small,Supermarket Type1,train,Food,18
FDS11,Regular,225.3088,5000.95696,0.097275777,14.013,OUT049,Tier 3,Small,Supermarket Type3,train,Food,15
FDX22,Regular,211.0928,4418.2488,0.022970468,6.785,OUT035,Tier 2,Small,Supermarket Type1,train,Food,18
DRJ47,Low Fat,174.708,3280.6629199999998,0.07747657,11.876000000000001,OUT046,Tier 3,Small,Supermarket Type3,train,Drinks,13
FDQ44,Low Fat,122.3756,3392.9168,0.036344721,20.5,OUT046,Tier 3,Small,Supermarket Type2,train,Food,13
NCA06,Non-Edible,37.919,842.237,0.144094079,15.430000000000001,OUT049,Tier 3,Small,Supermarket Type3,train,Non-Consumable,13
NCQ38,Non-Edible,105.628,1810.976,0.013420879,16.35,OUT049,Tier 3,Medium,Supermarket Type2,train,Non-Consumable,13
NCN53,Non-Edible,37.0874,424.64724000000007,0.053148497,14.580000000000002,OUT046,Tier 3,Small,Supermarket Type3,train,Non-Consumable,13
DRD15,Low Fat,233.9642,3717.8272,0.056911107,10.6,OUT045,Tier 2,Small,Supermarket Type1,train,Drinks,20
FDX12,Regular,243.0196,4310.3892,0.043626605,18.2,OUT049,Tier 3,Small,Supermarket Type2,train,Food,13
FDK24,Low Fat,43.6744,407.4696,0.0,9.195,OUT018,Tier 3,Medium,Supermarket Type2,train,Food,13
DRY23,Regular,42.9112,426.112,0.191013663,14.102,OUT035,Tier 2,Small,Supermarket Type1,train,Drinks,18
NCS29,Non-Edible,266.6884,5238.248079999999,0.121765124,10.072,OUT049,Tier 3,Small,Supermarket Type3,train,Non-Consumable,13
FDE47,Low Fat,126.5046,3783.4750799999993,0.063451474,14.15,OUT049,Tier 3,Small,Supermarket Type1,train,Food,15
FDX36,Regular,226.9404,4950.8888,0.129008866,9.695,OUT049,Tier 2,Small,Supermarket Type1,train,Food,15
FDP59,Regular,105.6648,623.1888,0.056695731,20.85,OUT045,Tier 3,Small,Supermarket Type2,train,Food,13
NCJ06,Non-Edible,121.1782,2504.2069600000004,0.060672263,9.293000000000001,OUT049,Tier 3,Small,Supermarket Type2,train,Non-Consumable,13
FDO49,Regular,49.7008,50.6008,0.05787008,13.45,OUT019,Tier 1,Small,Grocery Store,train,Food,37
FDA28,Regular,127.4362,2265.0516,0.047801883,16.1,OUT046,Tier 1,Small,Supermarket Type1,train,Food,25
FDZ46,Low Fat,109.0228,2542.0244,0.06911065,7.485,OUT035,Tier 2,Small,Supermarket Type1,train,Food,18
NCZ41,Non-Edible,126.1704,876.1928,0.064367627,19.85,OUT013,Tier 3,High,Supermarket Type1,train,Non-Consumable,35
FDX58,Low Fat,184.495,2807.27912,0.073251428,11.319,OUT049,Tier 3,Small,Supermarket Type3,train,Food,13
FDH58,Low Fat,115.1834,1958.1178,0.037014587,12.3,OUT045,Tier 2,Small,Supermarket Type1,train,Food,20
FDI50,Regular,228.7352,5954.9152,0.030890618,8.42,OUT049,Tier 1,Medium,Supermarket Type1,train,Food,23
DRI47,Low Fat,145.7128,2025.23044,0.036628533,12.794999999999998,OUT049,Tier 3,Small,Supermarket Type3,train,Drinks,13
FDF59,Low Fat,128.102,1664.7663200000002,0.071534226,12.5,OUT049,Tier 3,Small,Supermarket Type2,train,Food,13
FDE44,Low Fat,50.8692,837.5764,0.172357491,14.65,OUT046,Tier 3,Small,Supermarket Type1,train,Food,15
NCC54,Non-Edible,242.4196,3722.88728,0.171079215,15.832999999999998,OUT049,Tier 3,Small,Supermarket Type3,train,Non-Consumable,13
FDF53,Regular,182.2318,3428.2042,0.083736551,20.75,OUT049,Tier 2,Small,Supermarket Type1,train,Food,18
FDO34,Low Fat,167.2816,5704.5744,0.050111641,9.453,OUT027,Tier 3,Small,Supermarket Type3,train,Food,15
FDO10,Regular,58.3588,343.5528,0.021343732,13.65,OUT046,Tier 3,Small,Supermarket Type1,train,Food,20
FDW36,Low Fat,107.4622,2132.15792,0.099681705,12.629000000000001,OUT049,Tier 3,Small,Supermarket Type3,train,Food,13
FDG12,Regular,121.3098,2530.7058,0.0,6.635,OUT045,Tier 2,Small,Supermarket Type1,train,Food,20
FDQ12,Low Fat,231.601,5318.80988,0.061999648,15.41,OUT046,Tier 3,Small,Supermarket Type3,train,Food,13
FDQ40,Regular,177.2712,3691.1952,0.063079544,12.022,OUT049,Tier 3,Small,Supermarket Type3,train,Food,13
FDG24,Low Fat,85.225,2663.2,0.01469075,15.479000000000003,OUT045,Tier 3,Small,Supermarket Type3,train,Food,13
FDU04,Low Fat,123.2414,487.3656,0.009714595,12.081,OUT019,Tier 3,Small,Supermarket Type2,train,Food,13
NCW53,Non-Edible,193.8162,384.8324,0.053392944,12.475,OUT019,Tier 1,Small,Grocery Store,train,Non-Consumable,37
FDR59,Regular,260.4594,5494.8474,0.063993068,14.5,OUT045,Tier 2,Small,Supermarket Type1,train,Food,18
FDL57,Regular,257.3304,3874.956,0.067350054,15.1,OUT018,Tier 3,Medium,Supermarket Type2,train,Food,13
FDX60,Low Fat,81.896,878.856,0.08075758,14.35,OUT045,Tier 2,Small,Supermarket Type1,train,Food,20
FDB59,Low Fat,199.0084,3174.5344,0.015278899,18.25,OUT046,Tier 1,Small,Supermarket Type1,train,Food,25
FDE39,Low Fat,121.0782,3456.1678,0.036207786,7.89,OUT045,Tier 2,Small,Supermarket Type1,train,Food,20
FDR45,Low Fat,240.9222,3550.0456000000004,0.048445132,13.718,OUT049,Tier 3,Small,Supermarket Type3,train,Food,13
FDS40,Low Fat,38.419,776.9886,0.024546148,15.4,OUT049,Tier 3,Small,Supermarket Type3,train,Food,15
FDO58,Low Fat,166.1526,2960.1468,0.039577173,19.6,OUT046,Tier 3,Small,Supermarket Type1,train,Food,25
NCO30,Non-Edible,185.0608,3307.6944,0.015756784,19.5,OUT049,Tier 2,Small,Supermarket Type1,train,Non-Consumable,20
FDP22,Regular,52.6666,717.7324,0.0,11.610000000000001,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,37
FDP15,Low Fat,256.333,5608.56604,0.146972598,14.824000000000002,OUT049,Tier 3,Small,Supermarket Type3,train,Food,13
FDJ45,Low Fat,33.7216,1280.9992,0.073055148,15.4,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,37
FDA35,Regular,124.1072,2619.12404,0.054142088,12.882,OUT049,Tier 3,Small,Supermarket Type3,train,Food,13
NCP02,Non-Edible,59.2562,651.8182,0.044991294,7.105,OUT018,Tier 3,Medium,Supermarket Type2,train,Non-Consumable,13
FDB26,Regular,51.464,692.432,0.031267496,14.0,OUT046,Tier 1,Small,Supermarket Type1,train,Food,25
FDK41,Low Fat,84.9224,1193.1136,0.127541722,14.3,OUT046,Tier 1,Small,Supermarket Type1,train,Food,25
FDI60,Regular,64.751,885.514,0.064141866,7.22,OUT049,Tier 3,Small,Supermarket Type2,train,Food,13
NCW30,Non-Edible,260.6962,6602.7386,0.011072173,5.21,OUT049,Tier 2,Small,Supermarket Type1,train,Non-Consumable,15
FDK55,Low Fat,89.4172,178.4344,0.045105407,12.565999999999999,OUT019,Tier 1,Small,Grocery Store,train,Food,37
FDV46,Low Fat,140.718,2656.542,0.012659235,18.2,OUT018,Tier 3,Medium,Supermarket Type2,train,Food,13
NCE42,Non-Edible,235.4958,2058.6536000000006,0.017746063,15.549000000000001,OUT046,Tier 3,Small,Supermarket Type3,train,Non-Consumable,13
FDS60,Low Fat,181.666,3683.73824,0.032632065,15.1,OUT046,Tier 3,Small,Supermarket Type3,train,Food,13
FDG56,Regular,61.0536,1898.8616,0.071439051,13.3,OUT035,Tier 2,Small,Supermarket Type1,train,Food,18
FDT07,Regular,257.633,7433.657,0.135375727,10.725999999999999,OUT049,Tier 3,Small,Supermarket Type3,train,Food,13
FDC14,Regular,43.6454,125.8362,0.072221801,15.2,OUT019,Tier 1,Small,Grocery Store,train,Food,37
DRN59,Low Fat,45.206,792.302,0.064241345,15.0,OUT049,Tier 1,Medium,Supermarket Type1,train,Drinks,23
DRI51,Low Fat,173.3764,4466.1864,0.042413704,17.25,OUT035,Tier 3,Small,Supermarket Type2,train,Drinks,13
FDD05,Low Fat,121.5098,2892.2352,0.016597651,19.35,OUT013,Tier 3,High,Supermarket Type1,train,Food,35
FDQ45,Regular,185.3608,2940.1728,0.010917052,9.5,OUT046,Tier 3,Small,Supermarket Type1,train,Food,25
FDV44,Regular,191.3188,1713.7692,0.039906377,8.365,OUT049,Tier 1,Medium,Supermarket Type1,train,Food,23
FDJ56,Low Fat,98.77,2696.49,0.182514881,13.006,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,37
NCA53,Non-Edible,50.3034,763.9389199999999,0.017295906,12.549999999999999,OUT049,Tier 3,Small,Supermarket Type3,train,Non-Consumable,13
FDQ13,Low Fat,84.6908,755.0172,0.018632082,15.479000000000003,OUT049,Tier 3,Small,Supermarket Type3,train,Food,18
NCG30,Non-Edible,126.4046,2444.68444,0.196659953,13.539999999999997,OUT049,Tier 3,Small,Supermarket Type3,train,Non-Consumable,18
DRF15,Low Fat,155.034,306.268,0.058153409,8.953,OUT019,Tier 3,Small,Supermarket Type2,train,Drinks,13
FDG50,Low Fat,92.7146,1000.43108,0.026738937,11.503,OUT049,Tier 3,Small,Supermarket Type3,train,Food,13
FDL21,Regular,40.848,679.116,0.007140468,15.85,OUT013,Tier 3,High,Supermarket Type1,train,Food,35
FDI08,Regular,250.9092,4346.74188,0.066672058,18.2,OUT049,Tier 3,Small,Supermarket Type2,train,Food,13
FDL46,Low Fat,117.9466,2356.932,0.054362695,12.040000000000001,OUT046,Tier 3,Small,Supermarket Type3,train,Food,15
FDG16,Low Fat,213.7192,1078.596,0.089742065,15.25,OUT013,Tier 3,High,Supermarket Type1,train,Food,35
FDC32,Low Fat,91.4462,1665.8316,0.099309997,18.35,OUT045,Tier 2,Small,Supermarket Type1,train,Food,20
NCR18,Non-Edible,42.7112,639.168,0.020603511,15.85,OUT017,Tier 2,Small,Supermarket Type1,train,Non-Consumable,15
DRL23,Low Fat,106.6938,1393.5194,0.015335349,18.35,OUT045,Tier 2,Small,Supermarket Type1,train,Drinks,20
FDV45,Low Fat,187.9556,4693.89,0.045230944,16.75,OUT046,Tier 3,Small,Supermarket Type2,train,Food,13
FDP39,Low Fat,52.4324,571.2564,0.069565759,12.65,OUT045,Tier 2,Small,Supermarket Type1,train,Food,20
FDK20,Regular,124.5072,4042.7376,0.041622264,12.6,OUT049,Tier 1,Small,Supermarket Type1,train,Food,23
FDV60,Regular,196.211,5499.508,0.11679292,13.642,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,37
FDV43,Low Fat,46.2086,490.6946,0.076975118,16.0,OUT049,Tier 1,Medium,Supermarket Type1,train,Food,23
FDX56,Regular,208.5638,5383.6588,0.0,17.1,OUT049,Tier 1,Medium,Supermarket Type1,train,Food,23
FDY37,Regular,144.247,1770.6285199999998,0.026719159,10.136,OUT049,Tier 3,Small,Supermarket Type3,train,Food,13
FDX44,Low Fat,90.8172,535.3032,0.043209581,9.3,OUT017,Tier 3,Small,Supermarket Type1,train,Food,15
FDD45,Low Fat,95.9436,1027.7288800000001,0.203536932,13.860000000000003,OUT049,Tier 3,Small,Supermarket Type2,train,Food,13
NCO14,Non-Edible,46.2086,884.4487200000001,0.051902594,13.597,OUT035,Tier 3,Small,Supermarket Type3,train,Non-Consumable,15
FDS08,Low Fat,178.437,2697.6884399999994,0.099731744,13.644,OUT049,Tier 3,Small,Supermarket Type3,train,Food,15
FDG02,Low Fat,189.6188,952.094,0.011324862,7.855,OUT046,Tier 3,Small,Supermarket Type2,train,Food,13
FDF12,Low Fat,149.1076,1182.4608,0.08259502,8.235,OUT045,Tier 2,Small,Supermarket Type1,train,Food,20
DRP47,Low Fat,250.5382,2775.7202,0.141398626,15.75,OUT017,Tier 2,Small,Supermarket Type1,train,Drinks,15
FDI22,Low Fat,211.0612,7317.142,0.168455549,13.663,OUT046,Tier 3,Small,Supermarket Type3,train,Food,15
NCS05,Non-Edible,133.7942,3233.65744,0.021096732,12.397000000000002,OUT049,Tier 3,Small,Supermarket Type3,train,Non-Consumable,15
NCI18,Non-Edible,225.4746,3589.9936,0.014103354,18.35,OUT049,Tier 3,Small,Supermarket Type2,train,Non-Consumable,13
